date,time,temperature,dew_point,humidity,wind,wind_speed,wind_gust,pressure,precip.,condition
2021-09-03,2:30 AM,79,75,89,VAR,2,0,29.73,0.0,Partly Cloudy
2021-07-26,4:30 AM,79,77,94,SW,5,0,29.7,0.0,Mostly Cloudy
2021-07-07,11:00 AM,90,77,66,SW,12,0,29.7,0.0,Partly Cloudy
2021-08-14,2:30 PM,91,77,63,WSW,9,0,29.67,0.0,Partly Cloudy
2021-09-01,2:30 AM,79,77,94,VAR,1,0,29.76,0.0,Partly Cloudy
2021-08-02,8:30 PM,84,79,84,WSW,10,0,29.73,0.0,Mostly Cloudy
2021-08-05,4:30 PM,86,77,74,WSW,18,0,29.67,0.0,Fair
2021-07-22,10:30 PM,81,77,89,WSW,8,0,29.73,0.0,Partly Cloudy
2021-07-25,3:30 PM,88,77,70,W,15,0,29.64,0.0,Partly Cloudy
2021-08-13,4:00 PM,86,77,74,SW,7,0,29.67,0.0,Partly Cloudy
2021-08-23,5:00 PM,79,75,89,SW,6,0,29.67,0.0,Mostly Cloudy
2021-09-02,8:00 PM,81,75,84,SW,13,0,29.76,0.0,Partly Cloudy
2021-07-26,6:00 PM,86,79,79,WSW,13,0,29.64,0.0,Partly Cloudy
2021-08-16,4:30 PM,91,73,55,WSW,12,0,29.73,0.0,Partly Cloudy
2021-07-29,9:30 AM,86,79,79,W,10,0,29.7,0.0,Partly Cloudy
2021-07-29,12:00 PM,88,81,79,WSW,6,0,29.67,0.0,Mostly Cloudy
2021-09-02,12:00 PM,88,77,70,WSW,6,0,29.73,0.0,Partly Cloudy
2021-09-04,9:00 PM,81,75,84,WSW,9,0,29.76,0.0,Mostly Cloudy
2021-08-19,2:30 PM,95,73,49,W,5,0,29.67,0.0,Partly Cloudy
2021-07-14,8:30 AM,81,79,94,NNE,3,0,29.7,0.0,Mostly Cloudy
2021-08-11,4:00 AM,81,79,94,SSW,5,0,29.73,0.0,Partly Cloudy
2021-07-13,2:00 AM,79,77,94,NNW,1,0,29.73,0.0,Partly Cloudy
2021-08-01,3:30 PM,93,77,59,W,12,0,29.61,0.0,Partly Cloudy
2021-08-26,9:30 AM,84,77,79,WSW,8,0,29.76,0.0,Partly Cloudy
2021-07-26,12:00 PM,90,77,66,W,18,0,29.7,0.0,Mostly Cloudy
2021-08-25,9:30 PM,79,77,94,VAR,3,0,29.76,0.0,Mostly Cloudy
2021-08-18,7:00 PM,82,79,89,W,7,0,29.67,0.0,Light Rain with Thunder
2021-08-31,5:00 AM,77,77,100,VAR,1,0,29.73,0.0,Partly Cloudy
2021-08-08,3:00 AM,81,79,94,SW,7,0,29.73,0.0,Partly Cloudy
2021-08-06,7:30 PM,84,77,79,WSW,12,0,29.73,0.0,Fair
2021-08-28,12:30 AM,81,77,89,VAR,1,0,29.73,0.0,Mostly Cloudy
2021-08-06,12:00 AM,81,79,94,WSW,9,0,29.79,0.0,Partly Cloudy
2021-07-10,3:00 PM,91,73,55,SSE,8,0,29.64,0.0,Partly Cloudy
2021-07-28,2:30 PM,82,81,94,WNW,6,0,29.61,0.0,Mostly Cloudy
2021-07-18,12:30 AM,82,79,89,SW,13,0,29.7,0.0,Partly Cloudy
2021-07-15,7:30 PM,77,77,100,WSW,10,0,29.76,0.0,Light Rain
2021-07-29,1:30 PM,81,79,94,VAR,3,0,29.67,0.0,Light Rain
2021-07-15,8:30 AM,82,77,84,CALM,0,0,29.76,0.0,Mostly Cloudy
2021-07-28,4:30 AM,79,75,89,W,9,0,29.67,0.0,Partly Cloudy
2021-08-12,1:30 PM,82,81,94,VAR,1,0,29.79,0.0,Partly Cloudy
